,날짜,전체도시이름,도단위이름,시군구이름,최소기온,최대기온,오전날씨,오전비확률,오후날씨,오후비확률,관광지수,관광지표
591,2023-04-27,강원 철원군,강원,철원군,4.0,20.0,구름많음,30%,흐림,40%,-0.41,나쁨
592,2023-04-27,전남 해남군,전남,해남군,8.0,22.0,구름많음,30%,흐림,40%,0.11,좋음
593,2023-04-27,전남 강진군,전남,강진군,8.0,21.0,구름많음,30%,흐림,40%,0.07,보통
594,2023-04-27,강원 춘천시,강원,춘천시,6.0,22.0,구름많음,30%,흐림,40%,-0.35,나쁨
595,2023-04-27,충남 예산군,충남,예산군,7.0,22.0,구름많음,30%,흐림,40%,-0.37,나쁨
596,2023-04-27,전남 화순군,전남,화순군,8.0,23.0,구름많음,30%,흐림,40%,-0.01,보통
597,2023-04-27,인천 옹진군,인천,옹진군,10.0,18.0,구름많음,30%,흐림,40%,-0.53,나쁨
598,2023-04-27,강원 태백시,강원,태백시,7.0,20.0,구름많음,30%,구름많음,30%,-0.39,나쁨
599,2023-04-27,대전 대덕구,대전,대덕구,8.0,23.0,구름많음,30%,흐림,40%,-0.41,나쁨
600,2023-04-27,강원 평창군,강원,평창군,4.0,23.0,구름많음,30%,흐림,40%,-0.35,나쁨
601,2023-04-27,광주 서구,광주,서구,9.0,23.0,구름많음,30%,흐림,40%,-0.01,보통
602,2023-04-27,충남 홍성군,충남,홍성군,7.0,22.0,구름많음,30%,흐림,40%,-0.37,나쁨
603,2023-04-27,대구 남구,대구,남구,10.0,23.0,구름많음,30%,흐림,40%,-0.14,보통
604,2023-04-27,경북 안동시,경북,안동시,7.0,23.0,구름많음,30%,흐림,40%,-0.35,나쁨
605,2023-04-27,경북 성주군,경북,성주군,5.0,24.0,구름많음,30%,흐림,40%,-0.18,보통
606,2023-04-27,경남 거제시,경남,거제시,11.0,20.0,구름많음,30%,흐림,40%,0.05,보통
607,2023-04-27,부산 동래구,부산,동래구,13.0,20.0,구름많음,30%,흐림,40%,-0.29,나쁨
608,2023-04-27,대전 서구,대전,서구,8.0,23.0,구름많음,30%,흐림,40%,-0.41,나쁨
609,2023-04-27,경남 거창군,경남,거창군,4.0,22.0,구름많음,30%,흐림,40%,-0.47,나쁨
610,2023-04-27,서울 구로구,서울,구로구,9.0,21.0,구름많음,30%,흐림,40%,-0.41,나쁨
611,2023-04-27,경북 상주시,경북,상주시,7.0,24.0,구름많음,30%,흐림,40%,-0.41,나쁨
612,2023-04-27,경남 김해시,경남,김해시,10.0,22.0,구름많음,30%,흐림,40%,-0.03,보통
613,2023-04-27,부산 부산진구,부산,부산진구,13.0,20.0,구름많음,30%,흐림,40%,-0.35,나쁨
614,2023-04-27,경북 봉화군,경북,봉화군,4.0,21.0,구름많음,30%,흐림,40%,-0.45,나쁨
615,2023-04-27,서울 관악구,서울,관악구,9.0,21.0,구름많음,30%,흐림,40%,-0.41,나쁨
